millis,node,x,y,rssi,distance,target_x,target_y
6508,5,0,42.5,-75.0357,30.147,22.9405,22.9405
6508,1,0,0,-76.0051,32.4428,22.9405,22.9405
6608,2,42.5,0,-75.0222,30.1163,22.64,22.64
6608,5,0,42.5,-75.0222,30.1163,22.64,22.64
6608,1,0,0,-75.8335,32.0178,22.64,22.64
6708,2,42.5,0,-75.0112,30.0915,22.3395,22.3395
6708,5,0,42.5,-75.0112,30.0915,22.3395,22.3395
6708,1,0,0,-75.6596,31.5928,22.3395,22.3395
6808,2,42.5,0,-75.0029,30.0727,22.039,22.039
6808,5,0,42.5,-75.0029,30.0727,22.039,22.039
6808,1,0,0,-75.4834,31.1678,22.039,22.039
6908,2,42.5,0,-74.9971,30.06,21.7385,21.7385
6908,5,0,42.5,-74.9971,30.06,21.7385,21.7385
6908,1,0,0,-75.3047,30.7428,21.7385,21.7385
7008,2,42.5,0,-74.994,30.0532,21.4379,21.4379
7008,5,0,42.5,-74.994,30.0532,21.4379,21.4379
7008,1,0,0,-75.1235,30.3178,21.4379,21.4379
7108,1,0,0,-74.9398,29.8928,21.1374,21.1374
7108,2,42.5,0,-74.9934,30.0525,21.1374,21.1374
7108,5,0,42.5,-74.9934,30.0525,21.1374,21.1374
7208,1,0,0,-74.7535,29.4678,20.8369,20.8369
7208,2,42.5,0,-74.9955,30.0577,20.8369,20.8369
7208,5,0,42.5,-74.9955,30.0577,20.8369,20.8369
7308,1,0,0,-74.5644,29.0428,20.5364,20.5364
7308,2,42.5,0,-75.0001,30.069,20.5364,20.5364
7308,5,0,42.5,-75.0001,30.069,20.5364,20.5364
7408,1,0,0,-74.3726,28.6178,20.2359,20.2359
7408,2,42.5,0,-75.0074,30.0862,20.2359,20.2359
7408,5,0,42.5,-75.0074,30.0862,20.2359,20.2359
7508,1,0,0,-74.1779,28.1928,19.9353,19.9353
7508,2,42.5,0,-75.0173,30.1095,19.9353,19.9353
7508,5,0,42.5,-75.0173,30.1095,19.9353,19.9353
7608,1,0,0,-73.9803,27.7678,19.6348,19.6348
7608,2,42.5,0,-75.0297,30.1387,19.6348,19.6348
7608,5,0,42.5,-75.0297,30.1387,19.6348,19.6348
7708,1,0,0,-73.7796,27.3428,19.3343,19.3343
7708,2,42.5,0,-75.0447,30.1739,19.3343,19.3343
7708,5,0,42.5,-75.0447,30.1739,19.3343,19.3343
7808,1,0,0,-73.5757,26.9178,19.0338,19.0338
7808,2,42.5,0,-75.0622,30.215,19.0338,19.0338
7808,5,0,42.5,-75.0622,30.215,19.0338,19.0338
7908,1,0,0,-73.3687,26.4928,18.7333,18.7333
7908,2,42.5,0,-75.0822,30.2621,18.7333,18.7333
7908,5,0,42.5,-75.0822,30.2621,18.7333,18.7333
8008,1,0,0,-73.1582,26.0678,18.4327,18.4327
8008,2,42.5,0,-75.1048,30.315,18.4327,18.4327
8008,5,0,42.5,-75.1048,30.315,18.4327,18.4327
8108,1,0,0,-72.9444,25.6428,18.1322,18.1322
8108,2,42.5,0,-75.1298,30.3738,18.1322,18.1322
8108,5,0,42.5,-75.1298,30.3738,18.1322,18.1322
8208,1,0,0,-72.7269,25.2178,17.8317,17.8317
8208,2,42.5,0,-75.1573,30.4384,17.8317,17.8317
8208,5,0,42.5,-75.1573,30.4384,17.8317,17.8317
8308,1,0,0,-72.5058,24.7928,17.5312,17.5312
8308,2,42.5,0,-75.1872,30.5088,17.5312,17.5312
8308,5,0,42.5,-75.1872,30.5088,17.5312,17.5312
8408,1,0,0,-72.2809,24.3678,17.2307,17.2307
8408,2,42.5,0,-75.2195,30.5849,17.2307,17.2307
8408,5,0,42.5,-75.2195,30.5849,17.2307,17.2307
8508,1,0,0,-72.052,23.9428,16.9301,16.9301
8508,2,42.5,0,-75.2541,30.6667,16.9301,16.9301
8508,5,0,42.5,-75.2541,30.6667,16.9301,16.9301
8608,1,0,0,-71.819,23.5178,16.6296,16.6296
8608,2,42.5,0,-75.291,30.7542,16.6296,16.6296
8608,5,0,42.5,-75.291,30.7542,16.6296,16.6296
8708,1,0,0,-71.5817,23.0928,16.3291,16.3291
8708,2,42.5,0,-75.3302,30.8473,16.3291,16.3291
8708,5,0,42.5,-75.3302,30.8473,16.3291,16.3291
8808,1,0,0,-71.3401,22.6678,16.0286,16.0286
8808,2,42.5,0,-75.3716,30.9459,16.0286,16.0286
8808,5,0,42.5,-75.3716,30.9459,16.0286,16.0286
8908,1,0,0,-71.0939,22.2428,15.7281,15.7281
8908,2,42.5,0,-75.4152,31.0501,15.7281,15.7281
