node,millis,rssi
192.168.4.4,50960,-78
192.168.4.3,50976,-74
192.168.4.4,50976,-77
192.168.4.3,50992,-75
192.168.4.3,51008,-75
192.168.4.4,51008,-74
192.168.4.3,51024,-73
192.168.4.4,51024,-75
192.168.4.3,51040,-76
192.168.4.3,51056,-75
192.168.4.3,51072,-76
192.168.4.3,51104,-74
192.168.4.4,51104,-78
192.168.4.3,51120,-74
192.168.4.4,51120,-77
192.168.4.3,51136,-76
192.168.4.4,51136,-76
192.168.4.3,51152,-77
192.168.4.4,51152,-75
192.168.4.3,51184,-77
192.168.4.3,51200,-76
192.168.4.3,51216,-75
192.168.4.4,51216,-74
192.168.4.3,51232,-76
192.168.4.4,51232,-75
192.168.4.3,51248,-76
192.168.4.4,51248,-74
192.168.4.3,51264,-76
192.168.4.4,51264,-73
192.168.4.3,51280,-76
192.168.4.4,51280,-72
192.168.4.3,51296,-77
192.168.4.6,51296,-87
192.168.4.4,51296,-72
192.168.4.3,51312,-78
192.168.4.6,51312,-93
192.168.4.4,51312,-72
192.168.4.3,51328,-81
192.168.4.4,51328,-73
192.168.4.3,51344,-78
192.168.4.4,51344,-72
192.168.4.3,51360,-79
192.168.4.6,51360,-89
192.168.4.4,51360,-73
192.168.4.3,51376,-76
192.168.4.6,51376,-93
192.168.4.4,51376,-72
192.168.4.3,51392,-77
192.168.4.6,51392,-88
192.168.4.4,51392,-72
192.168.4.3,51424,-77
192.168.4.6,51424,-87
192.168.4.4,51424,-73
192.168.4.3,51440,-77
192.168.4.6,51440,-87
192.168.4.4,51440,-73
192.168.4.3,51456,-77
192.168.4.4,51456,-74
192.168.4.3,51488,-78
192.168.4.6,51488,-88
192.168.4.4,51488,-74
192.168.4.3,51504,-78
192.168.4.6,51504,-86
192.168.4.4,51504,-74
192.168.4.3,51536,-82
192.168.4.6,51536,-87
192.168.4.4,51536,-73
192.168.4.3,51552,-89
192.168.4.6,51552,-87
192.168.4.4,51552,-74
192.168.4.3,51568,-90
192.168.4.6,51568,-89
192.168.4.4,51568,-73
192.168.4.3,51584,-81
192.168.4.6,51584,-89
192.168.4.4,51584,-74
192.168.4.3,51600,-80
192.168.4.6,51600,-87
192.168.4.4,51600,-75
192.168.4.3,51632,-80
192.168.4.6,51632,-96
192.168.4.4,51632,-74
192.168.4.3,51648,-81
192.168.4.6,51648,-89
192.168.4.4,51648,-74
192.168.4.3,51664,-80
192.168.4.6,51664,-88
192.168.4.4,51664,-74
