millis,node,x,y,rssi,distance,target_x,target_y
12408,2,50,0,-79.1138,41.2311,10,10
12408,5,0,50,-79.1138,41.2311,10,10
12508,1,0,0,-65.1725,14.1421,10,10
12508,2,50,0,-79.1138,41.2311,10,10
12508,5,0,50,-79.1138,41.2311,10,10
12608,1,0,0,-65.1725,14.1421,10,10
12608,2,50,0,-79.1138,41.2311,10,10
12608,5,0,50,-79.1138,41.2311,10,10
12708,1,0,0,-65.1725,14.1421,10,10
12708,2,50,0,-79.1138,41.2311,10,10
12708,5,0,50,-79.1138,41.2311,10,10
12808,1,0,0,-65.1725,14.1421,10,10
12808,2,50,0,-79.1138,41.2311,10,10
12808,5,0,50,-79.1138,41.2311,10,10
12908,1,0,0,-65.1725,14.1421,10,10
12908,2,50,0,-79.1138,41.2311,10,10
12908,5,0,50,-79.1138,41.2311,10,10
13008,1,0,0,-65.1725,14.1421,10,10
13008,2,50,0,-79.1138,41.2311,10,10
13008,5,0,50,-79.1138,41.2311,10,10
13108,1,0,0,-65.1725,14.1421,10,10
13108,2,50,0,-79.1138,41.2311,10,10
13108,5,0,50,-79.1138,41.2311,10,10
13208,1,0,0,-65.1725,14.1421,10,10
13208,2,50,0,-79.1138,41.2311,10,10
13208,5,0,50,-79.1138,41.2311,10,10
13308,1,0,0,-65.1725,14.1421,10,10
13308,2,50,0,-79.1138,41.2311,10,10
13308,5,0,50,-79.1138,41.2311,10,10
13408,1,0,0,-65.1725,14.1421,10,10
13408,2,50,0,-79.1138,41.2311,10,10
13408,5,0,50,-79.1138,41.2311,10,10
13508,1,0,0,-65.1725,14.1421,10,10
13508,2,50,0,-79.1138,41.2311,10,10
13508,5,0,50,-79.1138,41.2311,10,10
13608,1,0,0,-65.1725,14.1421,10,10
13608,2,50,0,-79.1138,41.2311,10,10
13608,5,0,50,-79.1138,41.2311,10,10
13708,1,0,0,-65.1725,14.1421,10,10
13708,2,50,0,-79.1138,41.2311,10,10
13708,5,0,50,-79.1138,41.2311,10,10
13808,1,0,0,-65.1725,14.1421,10,10
13808,2,50,0,-79.1138,41.2311,10,10
13808,5,0,50,-79.1138,41.2311,10,10
13908,1,0,0,-65.1725,14.1421,10,10
13908,2,50,0,-79.1138,41.2311,10,10
13908,5,0,50,-79.1138,41.2311,10,10
14008,1,0,0,-65.1725,14.1421,10,10
14008,2,50,0,-79.1138,41.2311,10,10
14008,5,0,50,-79.1138,41.2311,10,10
14108,1,0,0,-65.1725,14.1421,10,10
14108,2,50,0,-79.1138,41.2311,10,10
14108,5,0,50,-79.1138,41.2311,10,10
14208,1,0,0,-65.1725,14.1421,10,10
14208,2,50,0,-79.1138,41.2311,10,10
14208,5,0,50,-79.1138,41.2311,10,10
14308,1,0,0,-65.1725,14.1421,10,10
14308,2,50,0,-79.1138,41.2311,10,10
14308,5,0,50,-79.1138,41.2311,10,10
14408,1,0,0,-65.1725,14.1421,10,10
14408,2,50,0,-79.1138,41.2311,10,10
14408,5,0,50,-79.1138,41.2311,10,10
14508,1,0,0,-65.1725,14.1421,10,10
14508,2,50,0,-79.1138,41.2311,10,10
14508,5,0,50,-79.1138,41.2311,10,10
14608,1,0,0,-65.1725,14.1421,10,10
14608,2,50,0,-79.1138,41.2311,10,10
14608,5,0,50,-79.1138,41.2311,10,10
14708,1,0,0,-65.1725,14.1421,10,10
14708,2,50,0,-79.1138,41.2311,10,10
14708,5,0,50,-79.1138,41.2311,10,10
14808,1,0,0,-65.1725,14.1421,10,10
14808,2,50,0,-79.1138,41.2311,10,10
14808,5,0,50,-79.1138,41.2311,10,10
14908,1,0,0,-65.1725,14.1421,10,10
14908,2,50,0,-79.1138,41.2311,10,10
14908,5,0,50,-79.1138,41.2311,10,10
15008,1,0,0,-65.1725,14.1421,10,10
15008,2,50,0,-79.1138,41.2311,10,10
15008,5,0,50,-79.1138,41.2311,10,10
15108,1,0,0,-65.1725,14.1421,10,10
15108,2,50,0,-79.1138,41.2311,10,10
15108,5,0,50,-79.1138,41.2311,10,10
15208,1,0,0,-65.1725,14.1421,10,10
15208,2,50,0,-79.1138,41.2311,10,10
15208,5,0,50,-79.1138,41.2311,10,10
15308,1,0,0,-65.1725,14.1421,10,10
15308,2,50,0,-79.1138,41.2311,10,10
15308,5,0,50,-79.1138,41.2311,10,10
15408,1,0,0,-65.1725,14.1421,10,10
15408,2,50,0,-79.1138,41.2311,10,10
15408,5,0,50,-79.1138,41.2311,10,10
15508,1,0,0,-65.1725,14.1421,10,10
15508,2,50,0,-79.1138,41.2311,10,10
15508,5,0,50,-79.1138,41.2311,10,10
15608,1,0,0,-65.1725,14.1421,10,10
15608,2,50,0,-79.1138,41.2311,10,10
15608,5,0,50,-79.1138,41.2311,10,10
15708,1,0,0,-65.1725,14.1421,10,10
15708,2,50,0,-79.1138,41.2311,10,10
15708,5,0,50,-79.1138,41.2311,10,10
15808,1,0,0,-65.1725,14.1421,10,10
15808,2,50,0,-79.1138,41.2311,10,10
15808,5,0,50,-79.1138,41.2311,10,10
15908,1,0,0,-65.1725,14.1421,10,10
15908,2,50,0,-79.1138,41.2311,10,10
15908,5,0,50,-79.1138,41.2311,10,10
16008,1,0,0,-65.1725,14.1421,10,10
16008,2,50,0,-79.1138,41.2311,10,10
16008,5,0,50,-79.1138,41.2311,10,10
16108,1,0,0,-65.1725,14.1421,10,10
16108,2,50,0,-79.1138,41.2311,10,10
16108,5,0,50,-79.1138,41.2311,10,10
16208,1,0,0,-65.1725,14.1421,10,10
16208,2,50,0,-79.1138,41.2311,10,10
16208,5,0,50,-79.1138,41.2311,10,10
16308,1,0,0,-65.1725,14.1421,10,10
16308,2,50,0,-79.1138,41.2311,10,10
16308,5,0,50,-79.1138,41.2311,10,10
16408,1,0,0,-65.1725,14.1421,10,10
16408,2,50,0,-79.1138,41.2311,10,10
16408,5,0,50,-79.1138,41.2311,10,10
16508,1,0,0,-65.1725,14.1421,10,10
16508,2,50,0,-79.1138,41.2311,10,10
16508,5,0,50,-79.1138,41.2311,10,10
16608,1,0,0,-65.1725,14.1421,10,10
16608,2,50,0,-79.1138,41.2311,10,10
16608,5,0,50,-79.1138,41.2311,10,10
16708,1,0,0,-65.1725,14.1421,10,10
16708,2,50,0,-79.1138,41.2311,10,10
16708,5,0,50,-79.1138,41.2311,10,10
16808,1,0,0,-65.1725,14.1421,10,10
16808,2,50,0,-79.1138,41.2311,10,10
16808,5,0,50,-79.1138,41.2311,10,10
16908,1,0,0,-65.1725,14.1421,10,10
16908,2,50,0,-79.1138,41.2311,10,10
16908,5,0,50,-79.1138,41.2311,10,10
17008,1,0,0,-65.1725,14.1421,10,10
17008,2,50,0,-79.1138,41.2311,10,10
17008,5,0,50,-79.1138,41.2311,10,10
17108,1,0,0,-65.1725,14.1421,10,10
17108,2,50,0,-79.1138,41.2311,10,10
17108,5,0,50,-79.1138,41.2311,10,10
17208,1,0,0,-65.1725,14.1421,10,10
17208,2,50,0,-79.1138,41.2311,10,10
17208,5,0,50,-79.1138,41.2311,10,10
17308,1,0,0,-65.1725,14.1421,10,10
17308,2,50,0,-79.1138,41.2311,10,10
17308,5,0,50,-79.1138,41.2311,10,10
17408,1,0,0,-65.1725,14.1421,10,10
17408,2,50,0,-79.1138,41.2311,10,10
17408,5,0,50,-79.1138,41.2311,10,10
17508,1,0,0,-65.1725,14.1421,10,10
17508,2,50,0,-79.1138,41.2311,10,10
17508,5,0,50,-79.1138,41.2311,10,10
17608,1,0,0,-65.1725,14.1421,10,10
17608,2,50,0,-79.1138,41.2311,10,10
17608,5,0,50,-79.1138,41.2311,10,10
17708,1,0,0,-65.1725,14.1421,10,10
17708,2,50,0,-79.1138,41.2311,10,10
17708,5,0,50,-79.1138,41.2311,10,10
17808,1,0,0,-65.1725,14.1421,10,10
17808,2,50,0,-79.1138,41.2311,10,10
17808,5,0,50,-79.1138,41.2311,10,10
17908,1,0,0,-65.1725,14.1421,10,10
